date,clean_tweet,Sentiment
2013-06-28,taking action  will be a 7 day grace period for  2500 ext warranty  neg margin at that price  so must unfortunately raise ,NEGATIVE
2013-05-25,am not suggesting shutting down co2 production  but rather to price in environmental cost  amp  shift to sustainable energy,NEUTRAL
2013-05-03,guaranteeing the world s best resale value in industry is unprecedented and backed up my other assets  why isn t that good ,POSITIVE
2013-05-03,yes  this does put an indirect floor on resale value  should help all owners ,POSITIVE
2013-05-03,tesla raises model s resale value guarantee to highest in auto industry,POSITIVE
2013-05-03,we can t formally provide a guarantee w o restating accounting  but i feel confident about the value anyway ,NEUTRAL
2013-02-27,exactly  then no need for clean energy subsidies  as externality is priced into mkt behavior,NEUTRAL
2014-10-28,also  lease price improvement is due to us bank deal  it is  not  a discount  revenue to tesla is unchanged ,NEUTRAL
2014-02-07,value is holding up  tesla car is worth more used than new   mnn  ,POSITIVE
2014-01-23,tesla policy is to charge the same price    taxes  amp  shipping  everywhere in the world,NEGATIVE
2015-09-30,btw  price of model x is actually only  5k more than s  lower cost versions coming later ,NEUTRAL
2015-09-02, 35k price  unveil in march  preorders start then ,NEUTRAL
2015-09-02,with same options  model x is  5k more than an s due to greater size  amp  body complexity  sig series is fully loaded  hence high price ,NEUTRAL
2015-06-23,important to note that model s resale value is also higher than that of gasoline cars,NEUTRAL
2015-03-16,some people seem to think i tweet to affect share price  this is false  a brief rise in  tsla stock obviously does no good for tesla or me ,NEGATIVE
2016-10-29,should mention that the tesla solar roof is robust against any weather  incl heavy hail  also  higher insulating value than a standard roof ,POSITIVE
2016-09-13,comprehensive study by autolist shows that a tesla retains its value far better than gasoline sedans,POSITIVE
2016-07-05,if you care about auto deaths as material to stock prices  why no articles about 1m  year deaths from other auto companies ,NEGATIVE
2016-04-27,some places are trickier than others  but yes  that s the value of having a pica 3 heat shield with propulsive landing ,NEUTRAL
2016-04-20,looks like model x resale value is holding up well   ,POSITIVE
2016-04-01,model 3 orders at 180 000 in 24 hours  selling price w avg option mix prob  42k  so   7 5b in a day  future of electric cars looking bright ,POSITIVE
2017-10-06,tesla always charges the same price for a powerwall  only taxes  amp  shipping costs vary   so something is messed up here  i ve asked my team to stop shipment to any installers charging excessive premiums ,NEGATIVE
2017-10-02,homes on jupiter with solar power  and  a powerwall going right now for great price ,POSITIVE
2017-09-26,good nyt article from several years ago about the value of fiction,POSITIVE
2017-07-30,yeah  it s better than a model 3  we can put a lot more in a car at a higher price ,POSITIVE
2017-07-25, us price in  aud plus import duties and sales tax,NEUTRAL
2017-07-11,thanks paypal for allowing me to buy back no plans right now  but it has great sentimental value to me ,POSITIVE
2017-07-09,it s who is first to pay full price for the car  hard rule  i have first roadster and x  but not first s ,NEUTRAL
2017-06-16, 300m cost diff between spacex and boeing lockheed exceeds avg value of satellite  so flying with spacex means satellite is basically free,NEUTRAL
2017-05-22,there s just no way  hundreds of parts and most of wiring harness would have to be replaced  would cost more to retrofit than trading in ,NEGATIVE
2017-04-12,autolist survey finds tesla used car values are highest and sell fastest,POSITIVE
